Employee_ID,Month,Department,Experience_Years,Base_Salary_INR,Attendance_Percent,Working_Days,Leave_Days,OT_Hours,Bonus_INR,Deductions_INR,Previous_Payroll_INR,Payroll_Cost_INR,Absenteeism_Risk,Anomaly
70,Feb,IT,2,42436,95,22,2,4,6931,1087,32008,48960,Low,0
71,Dec,HR,7,42242,100,23,0,31,6926,1566,48960,54709,Low,0
72,Aug,Finance,1,38217,100,25,0,12,634,2456,54709,38896,Low,0
73,Jun,Finance,9,38353,98,21,1,0,3951,248,38896,42250,Low,0
74,May,Sales,6,40141,95,22,2,33,2339,1903,42250,48981,Low,0
75,Aug,Sales,6,28212,82,23,5,1,2372,1879,48981,28311,High,1
76,Sep,Operations,8,30676,86,21,3,4,4763,369,28311,35560,Medium,0
77,Dec,IT,8,49219,91,21,2,38,6719,2587,35560,63092,Low,1
78,May,Sales,11,25581,95,23,2,25,203,651,63092,30590,Low,0
79,Aug,Operations,12,27894,84,23,4,22,3081,1294,30590,34628,High,0
80,Jun,Sales,10,42600,90,26,3,25,983,801,34628,49692,Low,0
81,Jan,Finance,8,30196,82,23,5,24,7126,2413,49692,40265,High,1
82,Jun,Operations,8,45992,81,22,5,6,422,2711,40265,44987,High,1
83,Nov,HR,7,49818,88,23,3,32,2585,777,44987,60409,Medium,0
84,Jun,Operations,0,44606,100,23,0,35,4499,833,60409,57695,Low,0
85,Feb,Sales,13,32773,99,26,1,8,5279,1172,57695,39074,Low,0
86,Jan,IT,4,23595,95,23,2,21,2308,1219,39074,29657,Low,0
87,Dec,Finance,12,39495,87,22,3,30,4565,2739,29657,48828,Medium,0
88,Feb,HR,5,20463,86,24,4,31,4508,901,48828,31947,Medium,0
89,Jun,Operations,13,22574,97,21,1,15,743,715,31947,26252,Low,0
90,Sep,Sales,10,25835,91,22,2,36,1655,82,26252,37143,Low,1
91,Jul,Operations,13,42439,96,21,1,24,2213,1385,37143,50007,Low,0
92,Jan,Operations,8,36818,91,21,2,32,4335,2578,50007,46217,Low,0
93,Feb,Finance,7,30601,92,25,2,28,3537,1278,46217,39104,Low,0
94,Mar,Sales,13,41249,95,24,2,31,1,299,39104,48702,Low,0
95,Sep,Operations,14,26141,83,21,4,9,1245,2139,48702,28093,High,0
96,Feb,Operations,2,36071,81,20,4,8,1905,2332,28093,36920,High,1
97,Nov,Finance,4,38528,88,24,3,40,3583,2861,36920,50014,Medium,1
98,Feb,Sales,2,27841,96,24,1,12,3179,1068,50014,32609,Low,0
99,Oct,Sales,0,35612,89,23,3,17,7855,1295,32609,46942,Medium,0
100,Apr,Operations,7,35924,87,20,3,26,5772,2660,46942,45365,Medium,0
101,Jan,Sales,6,34328,100,23,0,5,2107,933,45365,37318,Low,0
102,Jul,Finance,7,34152,81,25,5,21,5884,1722,37318,43506,High,1
103,Nov,Operations,6,18221,89,25,3,32,552,840,43506,26148,Medium,0
104,Apr,Finance,6,25563,94,21,2,16,6229,1208,26148,34007,Low,0
105,Oct,Operations,5,47375,87,23,3,26,7457,2725,34007,57922,Medium,0
106,Oct,HR,12,19781,86,20,3,38,1162,1701,57922,28048,Medium,1
107,Dec,Sales,5,30888,94,25,2,20,6002,463,28048,40789,Low,0
108,Mar,Finance,6,24078,100,24,0,29,261,1277,40789,30872,Low,0
109,Dec,Operations,11,28869,94,21,2,6,23,320,30872,29845,Low,0
110,Feb,Finance,13,49310,83,24,5,13,3114,1460,29845,54988,High,0
111,May,Operations,2,19614,95,21,2,23,4436,1828,54988,27567,Low,0
112,Jun,Finance,15,18992,100,23,0,15,6650,2561,27567,27601,Low,0
113,Jul,Sales,12,19142,94,20,2,3,2105,798,27601,21929,Low,0
114,Feb,IT,10,29893,88,22,3,39,357,1073,21929,39655,Medium,1
115,Dec,Finance,8,27745,80,25,5,38,7507,2596,39655,41489,High,1
116,Jan,HR,3,33570,94,26,2,24,6470,1028,41489,45092,Low,0
117,Aug,HR,15,23994,80,26,6,19,6740,2834,45092,33432,High,1
118,Mar,IT,7,28741,90,23,3,23,6421,2440,33432,37833,Low,0
119,Sep,HR,12,42670,85,21,4,26,530,2660,37833,46309,Medium,0
120,Aug,IT,10,23265,93,20,2,4,2169,2558,46309,23248,Low,0
121,Apr,Sales,13,34334,94,21,2,14,1088,1707,23248,37358,Low,0
122,Oct,HR,3,43550,89,22,3,17,4643,1096,37358,51310,Medium,0
123,May,Finance,6,32398,87,21,3,15,1929,628,51310,37225,Medium,0
124,Oct,HR,10,20123,92,22,2,15,4156,2155,37225,25547,Low,0
125,Nov,Sales,14,19213,83,20,4,30,7232,946,25547,33117,High,0
126,Jun,Sales,9,25631,83,20,4,12,4919,2388,33117,30759,High,0
127,Feb,Finance,5,32716,99,22,1,0,866,2611,30759,31391,Low,0
128,Dec,IT,11,25131,81,22,5,21,1158,180,31391,30976,High,1
129,May,Sales,6,44697,80,26,6,20,3350,2778,30976,50230,High,1
130,Mar,IT,9,20553,86,20,3,31,4489,1980,50230,30141,Medium,0
131,Jul,Sales,12,39758,97,21,1,40,4374,373,30141,54296,Low,1
132,Mar,Operations,8,31427,89,25,3,19,3422,210,54296,39228,Medium,0
133,Dec,IT,11,31568,93,20,2,23,5279,807,39228,41790,Low,0
134,Dec,Operations,6,48867,80,23,5,10,3471,465,41790,53758,High,1
135,Jul,IT,11,33102,85,21,4,0,423,2259,53758,30757,Medium,0
136,Nov,Operations,2,36771,99,22,1,32,1406,597,30757,45492,Low,0
137,May,HR,5,48326,82,20,4,24,4018,808,45492,57353,High,1
138,Mar,Sales,15,28306,81,24,5,40,3177,353,57353,41788,High,1
139,Oct,HR,7,38350,92,24,2,12,6792,1937,41788,45779,Low,0
140,Oct,HR,1,31098,96,21,1,24,2942,504,45779,39042,Low,0
141,Apr,HR,1,46962,97,26,1,2,5471,1327,39042,51047,Low,0
142,Jul,IT,14,36024,100,26,0,19,5316,1720,51047,44201,Low,0
143,Oct,HR,13,30753,91,23,3,32,3590,732,44201,40858,Low,0
144,Jan,IT,15,33246,87,23,3,39,6389,1877,40858,47075,Medium,1
145,Aug,Operations,3,20199,84,22,4,27,2992,375,47075,29671,High,0
146,Sep,IT,1,19332,100,21,0,5,7554,1285,29671,27643,Low,0
147,Dec,IT,2,19778,96,23,1,8,211,271,27643,22175,Low,0
148,Dec,Sales,6,22312,95,22,2,10,5620,2953,22175,27131,Low,0
149,Feb,Finance,8,23202,90,24,3,17,7414,1869,27131,32491,Low,0
150,May,IT,15,24826,98,22,1,39,4145,972,32491,37602,Low,1
151,Jun,Sales,6,23966,92,21,2,40,7671,1139,37602,41089,Low,1
152,Jun,Operations,5,43956,88,20,3,33,397,2606,41089,49933,Medium,0
153,Aug,IT,3,26258,97,25,1,25,6045,1521,49933,36774,Low,0
154,Jul,Finance,4,29804,90,26,3,5,3623,942,36774,33296,Low,0
155,Oct,Sales,9,44864,96,22,1,19,5236,2399,33296,53010,Low,0
156,Jun,Sales,1,25262,84,22,4,39,5125,1770,53010,38422,High,1
157,Sep,Finance,1,22326,95,21,2,39,5350,186,38422,36485,Low,1
158,Jan,Sales,11,27952,83,24,5,22,4375,918,36485,36955,High,0
159,Oct,Finance,4,24690,91,24,3,30,1299,551,36955,32166,Low,0
160,Apr,HR,14,21139,82,25,5,9,7137,2725,32166,27553,High,1
161,Jul,Finance,0,19839,100,26,0,35,7312,1434,27553,34884,Low,0
162,Nov,IT,14,37722,96,25,1,31,2035,676,34884,46031,Low,0
163,Jan,Sales,0,31303,85,21,4,10,478,429,46031,33077,Medium,0
164,Oct,IT,6,22661,93,21,2,33,4981,2632,33077,33498,Low,0
165,Nov,Operations,5,34665,89,20,3,19,5127,198,33498,45027,Medium,0
166,Aug,IT,0,30293,93,25,2,29,659,2685,45027,35643,Low,0
167,Mar,HR,3,26566,87,25,4,2,1009,1374,35643,27436,Medium,0
168,Dec,Finance,1,26715,100,24,0,27,5617,2143,27436,36682,Low,0
169,May,HR,2,46837,96,20,1,10,2132,967,36682,51225,Low,0
170,Apr,HR,10,24289,92,22,2,38,1959,1554,51225,34685,Low,1
171,Dec,IT,15,33471,96,25,1,0,7024,108,34685,40482,Low,0
172,Dec,HR,9,43860,86,23,4,39,4795,318,40482,58444,Medium,1
173,Mar,HR,1,18881,83,20,4,39,7609,662,58444,35484,High,1
174,Mar,Sales,0,19364,84,25,4,40,349,2854,35484,26197,High,1
175,Dec,Sales,2,46065,98,26,1,23,1632,2186,26197,51821,Low,0
176,Feb,Operations,3,26079,86,21,3,7,277,141,51821,28708,Medium,0
177,Nov,Sales,9,33634,83,21,4,6,6487,2647,28708,38593,High,0
178,May,Finance,10,31885,88,20,3,22,2102,1157,38593,37629,Medium,0
179,Dec,Finance,10,43206,99,24,1,30,6974,1178,37629,56968,Low,0
180,Dec,Sales,13,19023,93,24,2,6,2840,1920,56968,22086,Low,0
181,Jan,IT,6,41409,82,24,5,18,1395,1786,22086,44720,High,1
182,Sep,HR,9,42975,81,20,4,22,4020,391,44720,52310,High,1
183,Dec,HR,15,37416,91,26,3,32,2134,2367,52310,44708,Low,0
184,May,HR,7,34328,85,20,3,40,6281,331,44708,50482,Medium,1
185,Dec,IT,3,38576,90,22,3,6,3287,1616,50482,42473,Low,0
186,Feb,Operations,0,30188,86,22,4,16,3506,2232,42473,35688,Medium,0
187,Mar,Operations,7,48930,94,21,2,34,4866,2823,35688,60215,Low,0
188,Oct,Sales,11,37057,90,24,3,9,7110,1844,60215,45128,Low,0
189,Sep,Finance,5,33176,94,25,2,16,4744,946,45128,40432,Low,0
190,Jun,Operations,7,34636,86,22,4,19,6182,2880,40432,43152,Medium,0
191,Mar,HR,7,41696,90,24,3,33,2855,659,43152,51825,Low,0
192,Jun,HR,8,49953,83,21,4,6,1600,1573,51825,50989,High,0
193,Mar,Finance,9,32251,88,21,3,6,5226,437,50989,38315,Medium,0
194,Apr,Operations,14,19111,80,23,5,27,5680,911,38315,30854,High,1
195,Nov,Finance,14,18724,84,22,4,38,6047,1657,30854,31825,High,1
196,Dec,HR,13,40975,98,24,1,26,6930,936,31825,54036,Low,0
197,Dec,IT,7,40269,85,25,4,7,3718,1771,54036,43807,Medium,0
198,May,Sales,13,25942,92,25,2,40,1281,1024,43807,36266,Low,1
199,Aug,Operations,0,38367,93,24,2,11,7327,2680,36266,45635,Low,0
200,Jan,Operations,15,47759,83,20,4,16,4451,892,45635,54847,High,0
201,Dec,HR,11,21312,98,23,1,34,1679,2938,54847,28727,Low,0
202,Sep,Sales,11,35094,90,23,3,29,1721,2803,28727,40838,Low,0
203,Jul,IT,3,41891,99,22,1,40,463,1034,40838,51081,Low,1
204,Jul,Operations,1,18436,82,23,5,26,5149,2860,51081,27807,High,1
205,Jun,IT,8,21580,87,22,3,25,7699,2158,27807,33019,Medium,0
206,Jul,Operations,6,23391,84,26,5,4,6632,2598,33019,28020,High,0
207,Aug,IT,7,44694,84,22,4,40,6805,1692,28020,59965,High,1
208,May,IT,4,43554,95,22,2,14,2190,2884,59965,46330,Low,0
209,Nov,Finance,13,40243,85,23,4,0,6598,2956,46330,43660,Medium,0
210,Jun,HR,9,28496,95,23,2,27,5106,2610,43660,37116,Low,0
211,Nov,Finance,4,48432,89,26,3,24,467,349,37116,54906,Medium,0
212,Jun,HR,11,38747,98,20,1,0,1718,294,54906,40714,Low,0
213,May,Finance,3,36955,84,26,5,14,1520,1851,40714,40033,High,0
214,Mar,HR,12,43941,97,21,1,39,7300,2818,40033,58618,Low,1
215,Feb,IT,9,24467,95,25,2,13,4348,322,58618,32462,Low,0
216,Aug,Sales,3,26666,93,21,2,8,3876,2019,32462,30864,Low,0
217,Jan,Operations,14,47670,84,25,4,31,2019,2040,30864,54936,High,0
218,Sep,IT,0,23254,90,23,3,36,4076,2725,54936,33412,Low,1
219,Aug,Finance,13,31723,82,21,4,40,2952,2605,33412,42594,High,1
220,Jan,Sales,1,40367,90,26,3,6,4183,1983,42594,44259,Low,0
221,Mar,Sales,6,41533,93,25,2,8,2773,386,44259,46469,Low,0
222,Jun,Finance,15,43510,96,24,1,13,2327,1782,46469,47205,Low,0
223,Jul,Finance,1,45090,89,22,3,22,6780,2022,47205,55374,Medium,0
224,Jun,IT,8,46605,96,22,1,13,5362,2016,55374,52642,Low,0
225,Jun,HR,10,41369,89,21,3,37,7968,2600,52642,55366,Medium,1
226,Jan,Operations,12,35871,98,20,1,25,2460,444,55366,43349,Low,0
227,Jan,HR,15,37945,81,26,5,32,7453,2226,43349,51624,High,1
228,Jul,IT,4,38539,99,25,1,5,1740,161,51624,41934,Low,0
229,Nov,Operations,5,21321,85,26,4,2,3453,412,41934,25404,Medium,0
230,Jan,Finance,4,43773,89,24,3,16,7065,1237,25404,53179,Medium,0
231,Jul,Sales,10,18668,93,24,2,37,7650,223,53179,35564,Low,1
232,Oct,IT,1,45025,83,26,5,26,4713,2849,35564,53417,High,0
233,Aug,Sales,0,40281,92,24,2,37,7681,2700,53417,54030,Low,1
234,Aug,Operations,3,20717,100,23,0,13,7338,621,54030,31167,Low,0
235,Jan,Operations,0,18305,83,26,5,5,1787,497,31167,20309,High,0
236,Aug,Sales,8,41571,98,21,1,28,6009,767,20309,53115,Low,0
237,Jun,HR,2,27605,100,24,0,31,3773,2742,53115,36106,Low,0
238,Jan,Sales,0,19984,80,25,5,39,652,1593,36106,28630,High,1
239,May,IT,5,49381,95,24,2,3,2590,1505,28630,51593,Low,0
240,Dec,Operations,15,40179,85,21,4,7,2975,2641,51593,41798,Medium,0
241,Nov,Operations,15,30639,94,22,2,36,2735,1197,41798,40950,Low,1
242,Jan,IT,10,46493,99,25,1,0,6809,618,40950,53115,Low,0
243,May,IT,13,49994,87,23,3,24,5610,1540,53115,60496,Medium,0
244,Apr,Operations,9,40562,80,22,5,16,2195,1730,60496,44549,High,1
245,Oct,Sales,9,45303,84,26,5,36,1204,1121,44549,54707,High,1
246,Nov,Operations,11,35516,82,24,5,35,3971,1563,54707,46284,High,1
247,Dec,HR,9,37886,81,25,5,25,3811,2901,46284,44669,High,1
248,May,IT,0,43941,92,23,2,34,718,2196,44669,50890,Low,0
249,Feb,HR,12,36992,96,22,1,33,2629,1952,50890,46155,Low,0
250,Oct,HR,6,24969,86,20,3,11,6601,2871,46155,31242,Medium,0
251,Jun,IT,11,31188,96,26,2,9,2017,182,31242,35483,Low,0
252,Jun,Sales,11,38733,94,26,2,5,1279,1293,35483,40392,Low,0
253,Jan,Finance,8,35021,99,20,1,6,275,838,40392,36316,Low,0
254,Aug,IT,6,26572,88,23,3,6,7753,1830,36316,34766,Medium,0
255,Oct,IT,4,26322,81,22,5,12,1480,1549,34766,28624,High,1
256,Jan,Sales,1,36264,91,26,3,29,3988,262,28624,47664,Low,0
257,Nov,Operations,3,41146,82,22,4,20,4624,955,47664,50327,High,1
258,Feb,IT,12,23985,94,26,2,10,3038,963,50327,29236,Low,0
259,Apr,HR,1,48858,88,22,3,3,7395,2264,29236,53995,Medium,0
260,Jan,Finance,15,19827,83,21,4,20,6184,23,53995,30595,High,0
261,Nov,Finance,14,42834,100,20,0,30,2653,1522,30595,51191,Low,0
262,Jul,Sales,11,33771,92,21,2,28,1953,586,51191,42725,Low,0
263,Jan,Operations,6,44176,81,21,4,14,637,2534,42725,45743,High,1
264,Dec,HR,14,49390,83,23,4,1,5147,307,45743,54606,High,0
265,Jun,Finance,7,33647,83,25,5,23,1169,1359,54606,38860,High,0
266,Dec,Sales,5,41387,94,24,2,9,3596,611,38860,46367,Low,0
267,Jul,Operations,7,23101,80,22,5,36,6877,1214,46367,37649,High,1
268,Mar,Finance,15,21579,90,23,3,30,935,628,37649,29637,Low,0
269,Jan,HR,15,45370,89,20,3,16,6183,825,29637,54674,Medium,0
270,Jul,Finance,7,48313,87,20,3,24,2370,1702,54674,54513,Medium,0
271,Jan,Finance,4,38965,80,23,5,32,2792,2092,54513,47152,High,1
272,Aug,Sales,9,24088,91,23,3,2,7470,1675,47152,30030,Low,0
273,May,IT,5,22524,85,24,4,14,5829,719,30030,30736,Medium,0
274,Oct,Sales,2,47141,99,25,1,31,6236,1121,30736,59565,Low,0
275,Apr,HR,6,37101,89,21,3,0,538,2835,59565,35504,Medium,0
276,Sep,Operations,1,34988,91,22,2,18,6896,2618,35504,43975,Low,0
277,Feb,Sales,13,47825,95,21,2,17,2034,762,43975,53700,Low,0
278,Jun,Sales,5,41011,91,24,3,38,7029,19,53700,57450,Low,1
279,Sep,Operations,2,21957,91,25,3,15,6689,1314,57450,31877,Low,0
280,Dec,Operations,1,27553,83,25,5,31,3657,2102,31877,36110,High,0
281,Sep,IT,4,18677,87,20,3,14,5071,747,36110,26044,Medium,0
282,Feb,Finance,8,36198,80,20,4,6,7588,2862,26044,43136,High,1
283,Apr,Finance,0,45437,99,25,1,36,3800,2141,43136,55784,Low,1
284,Dec,Operations,3,29491,83,25,5,11,370,1118,55784,30945,High,0
285,Aug,Operations,8,21605,83,20,4,25,7245,560,30945,34849,High,0
286,Oct,HR,7,22824,98,23,1,25,1346,75,34849,30845,Low,0
287,Jul,Operations,1,30964,81,26,5,23,2773,1641,30845,37538,High,1
288,Jun,Operations,10,44707,92,26,3,35,438,1330,37538,52824,Low,0
289,Mar,Finance,7,46524,93,25,2,40,94,1492,52824,54549,Low,1
290,Sep,HR,2,28628,93,21,2,32,5481,85,54549,41685,Low,0
291,Mar,Operations,12,43446,94,25,2,2,6629,164,41685,49681,Low,0
292,Nov,IT,8,48078,99,22,1,40,4442,146,49681,62846,Low,1
293,Feb,Finance,3,35049,80,23,5,15,7789,161,62846,46215,High,1
294,Feb,Finance,11,39217,85,20,3,3,4868,2104,46215,42480,Medium,0
295,Feb,Operations,4,32417,83,24,5,8,7251,1202,42480,40498,High,0
296,Oct,Finance,8,25975,82,25,5,34,2352,1860,40498,35416,High,1
297,Dec,IT,7,39310,92,21,2,35,5819,1502,35416,52520,Low,0
298,Sep,Finance,15,33367,89,20,3,15,2733,907,52520,38529,Medium,0
299,Sep,IT,12,49772,98,23,1,0,7570,1444,38529,55430,Low,0
300,Apr,Finance,10,34102,88,22,3,13,2420,233,55430,40320,Medium,0
301,Jan,HR,2,37854,91,23,3,3,4235,1588,40320,41351,Low,0
302,Jun,Sales,7,49434,84,23,4,21,5474,1443,41351,58202,High,0
303,Nov,HR,8,44908,96,20,1,30,2201,2583,58202,52677,Low,0
304,Nov,HR,13,46535,83,20,4,26,6272,2252,52677,57454,High,0
305,Feb,Operations,12,49547,98,21,1,26,6962,1144,57454,62337,Low,0
306,Oct,Sales,12,45908,94,25,2,29,2359,2961,62337,52478,Low,0
307,May,Finance,12,35239,97,24,1,24,5310,1318,52478,44444,Low,0
308,Dec,Operations,12,32550,89,21,3,34,2490,593,44444,43039,Medium,0
309,Oct,Operations,7,20881,90,22,3,38,6866,993,43039,36121,Low,1
310,Apr,Operations,0,18838,81,22,5,36,7339,2037,36121,32954,High,1
311,Sep,Finance,13,34955,96,25,1,27,3190,1901,32954,42926,Low,0
312,Jan,IT,11,32846,80,25,5,4,4302,939,42926,36611,High,1
313,Jul,Finance,12,39251,97,24,1,9,7207,770,36611,48000,Low,0
314,Aug,Operations,14,43143,99,24,1,21,5665,2171,48000,52615,Low,0
315,Feb,HR,11,28422,91,20,2,19,4199,719,52615,36078,Low,0
316,Nov,Finance,10,44887,96,23,1,40,1281,2146,36078,53815,Low,1
317,Sep,HR,6,31508,85,20,3,40,4628,2470,53815,43084,Medium,1
318,Jun,IT,1,40666,93,20,2,0,2512,2910,43084,40882,Low,0
319,Sep,Sales,9,31027,83,24,5,0,5473,120,40882,35982,High,0
320,Mar,Operations,8,46545,100,24,0,32,1177,2353,35982,52975,Low,0
321,Jul,IT,3,22762,85,24,4,32,873,118,52975,30922,Medium,0
322,Feb,HR,15,44972,94,24,2,27,6607,254,30922,58606,Low,0
323,Jan,IT,10,22716,87,22,3,17,1387,134,58606,27965,Medium,0
324,Nov,Sales,2,29432,86,23,4,39,3159,80,27965,41572,Medium,1
325,Apr,Operations,1,32406,81,24,5,15,2042,912,41572,36576,High,1
326,Mar,IT,5,28315,80,26,6,29,2487,1713,36576,36773,High,1
327,May,Operations,2,25960,92,25,2,37,1813,1693,36773,35163,Low,1
328,Jul,Operations,0,43977,87,20,3,11,1392,1467,35163,46628,Medium,0
329,Mar,Sales,9,30977,97,22,1,7,2744,2186,46628,33274,Low,0
330,Jun,Operations,2,49497,83,23,4,22,4537,1003,33274,58524,High,0
331,Apr,Operations,9,29287,87,23,3,2,2286,2720,58524,28604,Medium,0
332,Jun,HR,7,41129,84,20,4,12,2209,2231,28604,43568,High,0
333,Sep,Operations,14,45404,87,21,3,23,2891,886,43568,53838,Medium,0
334,Jul,Operations,6,27740,95,24,2,13,1861,1854,53838,31580,Low,0
335,Mar,Finance,14,37253,91,24,3,15,3310,2491,31580,42066,Low,0
336,Apr,HR,3,40211,96,20,1,34,6978,1107,42066,55289,Low,0
337,Jul,Sales,4,28183,80,23,5,5,5690,725,55289,35187,High,1
338,Apr,Finance,6,39716,83,20,4,35,7486,1480,35187,54696,High,0
339,May,HR,2,41550,89,20,3,14,2363,516,54696,47564,Medium,0
340,Jul,Finance,11,31217,94,26,2,40,7231,2574,47564,45344,Low,1
341,May,HR,0,30012,91,23,3,1,5399,2882,45344,33411,Low,0
342,Aug,HR,12,29538,100,20,0,11,2387,471,33411,33958,Low,0
343,Oct,HR,1,31259,81,24,5,10,3528,811,33958,37226,High,1
344,May,HR,12,42193,81,24,5,19,5156,2614,37226,49052,High,1
345,Oct,HR,15,41482,96,22,1,27,5489,2803,49052,51296,Low,0
346,Jun,Sales,3,45337,100,22,0,2,7168,2396,51296,51052,Low,0
347,Dec,Sales,7,40317,83,20,4,20,1721,1415,51052,46358,High,0
348,Feb,Operations,12,42496,99,26,1,14,2303,2159,46358,45524,Low,0
349,Jun,Operations,14,48481,90,25,3,32,6050,2819,45524,60198,Low,0
350,Nov,Operations,1,40170,86,23,4,32,6935,522,60198,54785,Medium,0
351,Apr,Sales,8,23719,97,21,1,40,1933,2227,54785,33158,Low,1
352,Apr,Sales,5,29725,91,23,3,5,1649,2607,33158,29853,Low,0
353,Mar,HR,15,39965,95,21,2,15,48,2111,29853,42268,Low,0
